epoch = 1...
...
...
epoch = 980, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 981, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 982, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 983, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 984, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 985, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 986, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 987, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 988, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 989, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 990, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 991, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 992, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 993, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 994, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 995, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 996, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 997, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 998, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 999, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1000, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1001, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1002, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1003, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1004, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1005, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1006, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1007, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1008, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1009, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1010, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1011, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1012, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1013, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1014, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1015, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1016, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1017, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1018, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1019, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1020, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1021, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1022, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1023, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1024, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1025, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1026, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1027, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1028, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1029, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1030, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1031, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1032, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1033, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1034, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1035, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1036, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1037, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1038, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1039, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1040, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1041, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1042, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1043, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1044, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1045, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1046, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1047, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1048, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1049, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1050, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1051, mse = 0.006, Percentage = 73/75 = 97.33%
